date,location,start_time,start_meridiem,end_time,end_meridiem,weather,temperature_F,trappers,trap_zone,species_SCCA_TAHU,total_wt_g,bag_wt_g,sq_wt_g,sex,age,pit_tag_num,ear_tag_num,fur_dye,freeze_brand,comments,,
9/6/10,SLU campus,2:23,pm,3:30,pm,cloudy  ,NA,whole class,E,SCCA,860,NA,NA,M,adult,NA,R001,Right HD,right hip,weather was cool,,
9/6/10,SLU campus,2:23,pm,3:30,pm,cloudy  ,NA,whole class,F,SCCA,NA,NA,NA,M,adult,NA,escaped,right hip 2 patched,right backleg,"missing tip of tail, weather was cool",,
9/6/10,SLU campus,2:23,pm,3:30,pm,cloudy  ,NA,whole class,B,SCCA,800,NA,NA,M,adult,NA,R002,center rump,left leg,weather was cool,,
9/6/10,SLU campus,2:23,pm,3:30,pm,cloudy  ,NA,whole class,B,SCCA,700,NA,NA,M,adult,NA,R003,left leg,left middle,weather was cool,,
9/6/10,SLU campus,2:23,pm,3:30,pm,cloudy  ,NA,whole class,B,SCCA,780,NA,NA,M,adult,NA,R004,left middle,right middle,weather was cool,,
9/8/10,NA,7:30,am,9:10,am,partlycloudy,65,"Errin, Hanna, Leah, Abbie",C,SCCA,950,NA,NA,F,adult,NA,L005,back middle,left hip,nipples well developed and large,,
9/8/10,NA,7:30,am,9:10,am,partlycloudy,65,"Errin, Hanna, Leah, Abbie",C,SCCA,750,NA,NA,F,adult,NA,L007,left hip,center rump,nipples not developed,,
9/8/10,NA,7:30,am,9:10,am,partlycloudy,65,"Errin, Hanna, Leah, Abbie",C,SCCA,730,NA,NA,M,adult,NA,R008,left hip,left hip,tiny scrotal,,
9/8/10,NA,7:30,am,9:10,am,partlycloudy,65,"Errin, Hanna, Leah, Abbie",C,SCCA,710,NA,NA,M,subadult,NA,escaped,right middle,right shoulder,sub adult,,
9/8/10,NA,7:30,am,9:10,am,partlycloudy,65,"Errin, Hanna, Leah, Abbie",C,SCCA,780,NA,NA,F,NA,NA,NA,NA,right hip,escaped during freezebranding,,
9/8/10,NA,7:30,am,9:10,am,partlycloudy,65,"Errin, Hanna, Leah, Abbie",C,SCCA,790,NA,NA,F,adult,NA,L009,right hip,right leg,nipples large twitched then moved up,,
9/10/10,front of SHS,1:30,pm,3:10,pm,cloudy  ,70,"andrew skagg,  janet sun, Eddie Rictcher",C,SCCA,800,NA,NA,F,adult,NA,L010,lM to centerr RNMD,right hip,well devleloped nipples,,
9/10/10,front of SHS,1:30,pm,3:10,pm,cloudy  ,70,"andrew skagg,  janet sun, Eddie Rictcher",C,SCCA,790,NA,NA,M,adult,NA,R011,right hip,right leg,caught earrlike half a tail,,
9/10/10,front of SHS,1:30,pm,3:10,pm,cloudy  ,70,"andrew skagg,  janet sun, Eddie Rictcher",C,SCCA,870,NA,NA,F,adult,NA,escaped,right leg,c shoulder,well devleloped nipples,,
9/10/10,front of SHS,1:30,pm,3:10,pm,cloudy  ,70,"andrew skagg,  janet sun, Eddie Rictcher",C,SCCA,NA,NA,NA,F,adult,NA,L009,right leg,right hip,released,,
9/10/10,front of SHS,1:30,pm,3:10,pm,cloudy  ,70,"andrew skagg,  janet sun, Eddie Rictcher",C,SCCA,710,NA,NA,M,adult,NA,R012,left hip right leg,CM right hip,semi scrotal,,
9/10/10,front of SHS,1:30,pm,3:10,pm,cloudy  ,70,"andrew skagg,  janet sun, Eddie Rictcher",C,SCCA,750,NA,NA,F,adult,NA,L013,c shoulder,C rump C middle,nipples small,,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",A9,SCCA,NA,NA,NA,NA,NA,NA,R011,NA,NA,"R011- recaptured, released",,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",A10,SCCA,760,NA,NA,F,NA,NA,L014,left and right leg,left leg,closer to left,,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",A11,SCCA,850,NA,NA,M,NA,NA,R015,2 on center middle,"center hip, right leg",scrotal tube,,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",C6,SCCA,800,NA,NA,M,NA,NA,escaped,escaped,right middle,espaced slightly scrrotal,,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",F3,SCCA,750,NA,NA,F,NA,NA,L016,right hip and right shoulder,"right leg, right hip",small nipple,,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",A11,SCCA,870,NA,NA,M,NA,NA,R017,"left leg, left shoulder","left leg, left hip",very scrotal,,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",F5,SCCA,840,NA,NA,F,NA,NA,R018,"right middle, left middle","left hip, center right",small niple,,
10/1/10,SLU campus,1:30,pm,4:00,pm,cloudy  ,60,"mathias, lizzy, Amanda, ELB",C6,SCCA,790,NA,NA,M,NA,NA,R019,"rright leg, right hip","center right, center middle",very scrotal,,
10/8/10,campus see map,1:40,pm,NA,NA,"partlycloudy, breezy",65,"jackie D, ELC, Eddie Rictcher, Jessica M",C,SCCA,760,Na,NA,F,NA,NA,L16,NA,NA,recapture,,
10/9/10,campus see map,2:40,pm,NA,NA,"partlycloudy, breezy",66,"jackie D, ELC, Eddie Rictcher, Jessica M",C,SCCA,760,NA,NA,F,NA,NA,L,left knee,Left leg,"probably L14 ear tag, 8/b no. 00. recapture",,
10/10/10,campus see map,3:40,pm,NA,NA,"partlycloudy, breezy",67,"jackie D, ELC, Eddie Rictcher, Jessica M",E,SCCA,820,NA,NA,M,NA,NA,R20,right middle,"left hip, right hip",bloodied nose a little,,
10/11/10,campus see map,4:40,pm,NA,NA,"partlycloudy, breezy",68,"jackie D, ELC, Eddie Rictcher, Jessica M",C,SCCA,740,160,NA,F,NA,NA,escaped,"left leg, left hip","rright middle, left leg",escaped on ear tag,,
10/12/10,campus see map,5:40,pm,NA,NA,"partlycloudy, breezy",69,"jackie D, ELC, Eddie Rictcher, Jessica M",E,SCCA,760,NA,NA,F,NA,NA,released,wihtout handling,NA, 8/b no. 00.,,
9/1/11,Around JHS,9:00,am,11:30,am,clear,65-75,"Leah H, Kate A, Eddie Ritcher, Andrerw Skagg, ELB",NA,SCCA,850,160,690,M,1+,"tried, skin too tough",R051,NA,left leg,"new tag used, recaptuerd from 10 rpobably RR002, age 1+",,
9/2/11,Around JHS,9:00,am,11:30,am,clear,65-75,"Leah H, Kate A, Eddie Ritcher, Andrerw Skagg, ELB",Java Field,SCCA,800,160,640,F,subadult,"tried, skin too tough",NA,"center rump, center shoulder","right leg, right hip","escape from ear tag, age is questionable",,
9/3/11,Around JHS,9:00,am,11:30,am,clear,65-75,"Leah H, Kate A, Eddie Ritcher, Andrerw Skagg, ELB",NA,SCCA,920,160,160,F,adult,NA,L007,left hip,center rump,nipplies promounced recaptured from 10,,
9/2/11,around JHS,3:00,pm,NA,NA,"clear, humid",80,"ELB, Mana H, Kate A, Erin S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no squirrels found,,